Year,Month,Anomaly
1954,6,-0.988
1954,7,0.533
1954,8,-1.731
1954,9,-0.792
1954,10,-0.319
1954,11,1.148
1954,12,-0.663
1955,1,-2.221
1955,2,-2.110
1955,3,-0.099
1955,4,-1.895
1955,5,-0.542
1955,6,-0.635
1955,7,-1.754
1955,8,0.591
1955,9,0.162
1955,10,0.479
1955,11,-0.503
1955,12,1.110
1956,1,1.190
1956,2,-2.703
1956,3,0.418
1956,4,-0.064
1956,5,0.193
1956,6,0.271
1956,7,-0.501
1956,8,-1.225
1956,9,0.676
1956,10,-1.401
1956,11,0.198
1956,12,0.404
1957,1,-1.976
1957,2,1.399
1957,3,0.873
1957,4,0.435
1957,5,-0.883
1957,6,1.647
1957,7,-0.135
1957,8,-0.760
1957,9,0.208
1957,10,-1.670
1957,11,-1.232
1957,12,0.827
1958,1,1.012
1958,2,1.630
1958,3,-1.771
1958,4,0.059
1958,5,1.938
1958,6,-0.089
1958,7,-0.342
1958,8,1.854
1958,9,0.847
1958,10,1.943
1958,11,0.570
1958,12,2.957
1959,1,1.913
1959,2,-1.096
1959,3,2.133
1959,4,2.926
1959,5,-0.668
1959,6,1.426
1959,7,1.671
1959,8,0.061
1959,9,-0.975
1959,10,1.134
1959,11,1.181
1959,12,0.607
1960,1,-1.074
1960,2,-0.866
1960,3,2.056
1960,4,0.902
1960,5,-0.165
1960,6,2.501
1960,7,1.179
1960,8,0.063
1960,9,0.928
1960,10,-0.370
1960,11,-0.691
1960,12,-0.062
1961,1,1.115
1961,2,0.988
1961,3,0.099
1961,4,1.151
1961,5,-1.056
1961,6,2.197
1961,7,0.997
1961,8,0.880
1961,9,-1.332
1961,10,-0.379
1961,11,-1.076
1961,12,-0.695
1962,1,-0.554
1962,2,-1.116
1962,3,-1.726
1962,4,2.630
1962,5,-1.384
1962,6,-0.140
1962,7,-0.717
1962,8,0.114
1962,9,0.224
1962,10,-0.064
1962,11,1.169
1962,12,1.248
1963,1,-1.035
1963,2,3.519
1963,3,-0.544
1963,4,-2.199
1963,5,0.446
1963,6,-1.415
1963,7,-1.343
1963,8,-0.471
1963,9,1.042
1963,10,0.653
1963,11,-0.103
1963,12,-0.004
1964,1,-0.692
1964,2,-0.949
1964,3,-1.153
1964,4,-0.498
1964,5,-1.390
1964,6,-1.131
1964,7,-0.138
1964,8,0.101
1964,9,-1.146
1964,10,1.996
1964,11,-1.832
1964,12,0.883
1965,1,0.779
1965,2,-0.005
1965,3,0.072
1965,4,-0.143
1965,5,-0.829
1965,6,-2.030
1965,7,-0.994
1965,8,-0.022
1965,9,-2.380
1965,10,1.600
1965,11,0.665
1965,12,-1.350
1966,1,-0.815
1966,2,-1.978
1966,3,0.907
1966,4,2.321
1966,5,1.621
1966,6,0.164
1966,7,-1.140
1966,8,1.039
1966,9,-0.005
1966,10,0.138
1966,11,0.763
1966,12,0.316
1967,1,0.645
1967,2,0.501
1967,3,-0.094
1967,4,-4.381
1967,5,0.105
1967,6,-1.304
1967,7,0.929
1967,8,2.122
1967,9,1.021
1967,10,0.919
1967,11,2.076
1967,12,-1.940
1968,1,-0.364
1968,2,2.413
1968,3,1.218
1968,4,0.345
1968,5,-0.057
1968,6,0.809
1968,7,0.231
1968,8,-1.493
1968,9,0.005
1968,10,-0.371
1968,11,0.046
1968,12,-1.841
1969,1,0.247
1969,2,-2.242
1969,3,-0.673
1969,4,0.053
1969,5,1.557
1969,6,-0.830
1969,7,0.057
1969,8,1.218
1969,9,0.931
1969,10,-1.964
1969,11,0.686
1969,12,1.002
1970,1,1.213
1970,2,1.454
1970,3,0.625
1970,4,-1.859
1970,5,1.043
1970,6,0.434
1970,7,0.725
1970,8,0.717
1970,9,-0.815
1970,10,-1.203
1970,11,0.706
1970,12,-1.170
